incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Hoag Fire,TRUE,2016-06-11T16:15:00Z,2016-06-11T14:30:00Z,CAL FIRE Tehama Glenn Unit,Tehama,"off Corning Road and Gaylord Avenue, east of Corning",80,CAL FIRE Tehama Glenn Unit,-121.857,39.7947,2016-06-11T16:15:00Z,6/11/16,6/11/16,N,TRUE,FALSE
Cotton Fire,TRUE,2016-06-12T12:30:00Z,2016-06-11T15:04:00Z,Kern County Fire Department,Kern,"off Highway 41, one mile east of the county line",61,Kern County Fire Department,-120.251,35.77135,2016-06-12T12:30:00Z,6/12/16,6/11/16,N,FALSE,FALSE
Old Fire,TRUE,2016-06-12T15:45:00Z,2016-06-12T12:45:00Z,CAL FIRE San Benito Monterey Unit,San Benito,"off Old Hernandez Road, five miles east of Pinnacles National Park",83,CAL FIRE San Benito Monterey Unit,-121.04993,36.49914,2016-06-12T15:45:00Z,6/12/16,6/12/16,N,TRUE,FALSE
Pony Fire,TRUE,2016-11-08T10:15:00Z,2016-06-07T02:45:00Z,USFS Klamath National Forest ,Siskiyou,15 miles SW of Happy Camp (Siskiyou County),2860,USFS Klamath National Forest ,-123.557,41.623,2016-11-08T10:15:00Z,11/8/16,6/7/16,N,FALSE,FALSE
Sherpa Fire,TRUE,2016-07-12T14:30:00Z,2016-06-15T15:21:00Z,U.S Los Padres National Forest ,Santa Barbara,west of Goleta,7474,U.S Los Padres National Forest ,-119.643,34.776,2016-07-12T14:30:00Z,7/12/16,6/15/16,N,TRUE,FALSE
Creek Fire,TRUE,2016-06-27T06:15:00Z,2016-06-26T15:45:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"off Hwy 16, 4 miles south of Brooks, near the Cache Creek Casino",277,CAL FIRE Sonoma-Lake-Napa Unit,-122.15457,38.69971,2016-06-27T06:15:00Z,6/27/16,6/26/16,N,TRUE,FALSE
70 Fire,TRUE,2016-06-21T16:30:00Z,2016-06-21T15:09:00Z,CAL FIRE Butte County Fire,Butte,off Highway 70 at Palermo Rd.,49,CAL FIRE Butte County Fire,-121.6051,39.43351,2016-06-21T16:30:00Z,6/21/16,6/21/16,N,TRUE,FALSE
Erskine Fire,TRUE,2016-07-11T09:40:00Z,2016-06-23T15:51:00Z,Bureau of Land Management,Kern,Off Erskine Creek Rd in Lake Isabella,48019,Bureau of Land Management,-118.45628,35.6115,2016-07-11T09:40:00Z,7/11/16,6/23/16,N,TRUE,FALSE
Lowe Fire,TRUE,2016-06-24T18:20:00Z,2016-06-23T17:57:00Z,CAL FIRE San Benito-Monterey Unit,Monterey,East of King City,52,CAL FIRE San Benito-Monterey Unit,-120.9293,36.1934,2016-06-24T18:20:00Z,6/24/16,6/23/16,N,TRUE,FALSE
Dinosaur Fire,TRUE,2016-06-26T18:50:00Z,2016-06-25T23:45:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Merced,"Off Hwy152 at Dinosaur Point, westside of San Luis Reservoir ",1246,CAL FIRE Madera-Mariposa-Merced Unit,-121.20155,37.07147,2016-06-26T18:50:00Z,6/26/16,6/25/16,N,TRUE,FALSE
Laguna Fire,TRUE,2016-06-29T18:30:00Z,2016-06-26T13:10:00Z,Orange County Fire Authority,Orange,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",47,Orange County Fire Authority,-117.77395,33.57872,2016-06-29T18:30:00Z,6/29/16,6/26/16,N,TRUE,FALSE
Grant Fire,TRUE,2016-06-26T07:00:00Z,2016-06-25T16:11:00Z,CAL FIRE Santa Clara Unit,Alameda,"In the Altamont Pass, 10 miles east of Livermore",211,CAL FIRE Santa Clara Unit,-121.58677,37.74369,2016-06-26T07:00:00Z,6/26/16,6/25/16,N,TRUE,FALSE
Marina Fire,TRUE,2016-07-09T08:30:00Z,2016-06-25T06:30:00Z,Inyo National Forest,Mono,Hwy 395 & Mono Lake,650,Inyo National Forest,-119.14,37.97,2016-07-09T08:30:00Z,7/9/16,6/25/16,N,FALSE,FALSE
Reservoir Fire,TRUE,2016-06-28T20:00:00Z,2016-06-26T16:00:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",215,CAL FIRE Sonoma-Lake-Napa Unit,-122.50373,39.12366,2016-06-28T20:00:00Z,6/28/16,6/26/16,N,TRUE,FALSE
Trailhead Fire,TRUE,2016-07-18T09:50:00Z,2016-06-28T13:55:00Z,CAL FIRE Nevada-Yuba-Placer Unit / El Dorado National Forest,"El Dorado, Placer",along the  Middle Fork of the American River near Todd Valley,5646,"CAL FIRE Nevada-Yuba-Placer Unit / El Dorado National Forest, CAL FIRE, US Forest Service, Placer County Sheriff’s Department, El Dorado County Sheriff’s Department, California Highway Patrol, California Office of Emergency Services, and local fire departments from across the region.",-120.9375,38.96741,2016-07-18T09:50:00Z,7/18/16,6/28/16,N,TRUE,FALSE
Rancho Fire,TRUE,2016-06-29T07:30:00Z,2016-06-28T19:02:00Z,CAL FIRE Amador- El Dorado Unit,Amador,"Hwy 104, west of Ione",372,CAL FIRE Amador- El Dorado Unit,-121.003611,38.385,2016-06-29T07:30:00Z,6/29/16,6/28/16,N,TRUE,FALSE
Big Fire,TRUE,2016-07-13T17:30:00Z,2016-07-11T14:30:00Z,CAL FIRE Fresno County Fire,Fresno,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",188,CAL FIRE Fresno County Fire,-119.39619,36.92244,2016-07-13T17:30:00Z,7/13/16,7/11/16,N,TRUE,FALSE
Sage Fire,TRUE,2016-07-16T12:00:00Z,2016-07-09T12:04:00Z,Los Angeles County Fire,Los Angeles,"off of Calgrove Blvd, southwest of Santa Clarita",1109,Los Angeles County Fire,-118.57245,34.36763,2016-07-16T12:00:00Z,7/16/16,7/9/16,N,FALSE,FALSE
Mercury Fire,TRUE,2019-07-01T13:08:12Z,2016-07-09T12:43:00Z,CAL FIRE San Benito-Monterey Unit,San Benito,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",95,CAL FIRE San Benito-Monterey Unit,-120.841536,5487,2016-07-10T19:30:00Z,7/10/16,7/9/16,N,TRUE,FALSE
Fort Fire,TRUE,2016-07-10T19:37:00Z,2016-07-08T11:15:00Z,Kern County Fire,Kern,"off of I-5, east of Grapevine",554,Kern County Fire,118.9082,34.913,2016-07-10T19:37:00Z,7/10/16,7/8/16,N,TRUE,FALSE
Fiddler Fire,TRUE,2016-07-12T07:00:00Z,2016-07-08T22:45:00Z,CAL FIRE Shasta-Trinity Unit,Shasta,"off Fiddlers Road, southwest of Igo",441,"CAL FIRE Shasta-Trinity Unit, Redding Fire Department, Shasta County Fire Department, Shasta County Public Works, Shasta County Sheriff's Department and CHP",-122.72913,40.36873,2016-07-12T07:00:00Z,7/12/16,7/8/16,N,TRUE,FALSE
Colyear Fire,TRUE,2016-07-04T07:45:00Z,2016-06-30T13:32:00Z,CAL FIRE Tehama-Glenn Unit,Tehama,"Colyear Springs Road, 7 miles west of Red Bank",464,"CAL FIRE Tehama-Glenn Unit, Mendocino National Forest",-122.56939,40.0353,2016-07-04T07:45:00Z,7/4/16,6/30/16,N,TRUE,FALSE
Deer Fire,TRUE,2016-07-08T19:00:00Z,2016-07-01T14:05:00Z,Kern County Fire,Kern,"Hwy 223 & Deertrail Rd., east of Arvin",1785,"Kern County Fire, Kern County Fire/OES, Kern County Sheriff, CHP, Bear Valley CSD, CalOES, CDCR, American Red Cross, Cal Edison, Tejon Ranch, CCC.",-118.72272,35.20993,2016-07-08T19:00:00Z,7/8/16,7/1/16,N,TRUE,FALSE
Pine Fire,TRUE,2016-06-30T16:55:00Z,2016-06-30T16:55:00Z,Los Padres National Forest,Ventura,"Near Haddock Campground, 3 miles west of the Pine Mtn Lodge, above Middle Sespe.",2304,Los Padres National Forest,-119.144,34.701,2016-06-30T16:55:00Z,6/30/16,6/30/16,N,FALSE,FALSE
Flores Fire,TRUE,2016-07-01T17:45:00Z,2016-07-01T13:54:00Z,CAL FIRE Tehama-Glen Unit,Tehama,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",88,CAL FIRE Tehama-Glen Unit,-122.2071,40.07846,2016-07-01T17:45:00Z,7/1/16,7/1/16,N,TRUE,FALSE
Curry Fire,TRUE,2016-07-05T07:05:00Z,2016-07-01T17:16:00Z,CAL FIRE Fresno Unit,Fresno,"Curry Mountain, 7 miles SW of Coalinga",2944,"CAL FIRE Fresno Unit, Fresno County Sheriff’s Office, California Highway Patrol, PG&E, Cal Trans, California Department of Corrections and Rehabilitation, BLM.",-120.452041,36.0749,2016-07-05T07:05:00Z,7/5/16,7/1/16,N,TRUE,FALSE
Lone Pine Fire,TRUE,2016-07-02T20:00:00Z,2016-07-01T12:56:00Z,CAL FIRE San Bernardino Unit,Inyo,"Whitney Portal Rd. and OlivasRanch Rd., 3 miles West of Lone Pine",30,CAL FIRE San Bernardino Unit,-118.15589,36.58972,2016-07-02T20:00:00Z,7/2/16,7/1/16,N,TRUE,FALSE
Appaloosa Fire,TRUE,2019-07-01T13:08:28Z,2016-07-02T14:55:00Z,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",310,CAL FIRE Tuolumne-Calaveras Unit,-120.61153,38.02845,2016-07-08T19:32:00Z,7/8/16,7/2/16,N,TRUE,FALSE
Scott Fire,TRUE,2016-07-11T06:35:00Z,2016-07-10T15:30:00Z,CAL FIRE Amador-Eldorado Unit,Sacramento,"off of Scotts Road and Latrobe Road, Rancho Murrieta",87,CAL FIRE Amador-Eldorado Unit,-121.103642,38.517772,2016-07-11T06:35:00Z,7/11/16,7/10/16,N,TRUE,FALSE
Frame Fire,TRUE,2016-07-07T19:00:00Z,2016-07-04T17:15:00Z,CAL FIRE Fresno-Kings Unit,Fresno,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",145,CAL FIRE Fresno-Kings Unit,-120.62048,36.14161,2016-07-07T19:00:00Z,7/7/16,7/4/16,N,TRUE,FALSE
Broken Fire,TRUE,2019-07-01T13:08:20Z,2016-07-04T11:53:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",103,CAL FIRE Madera-Mariposa-Merced Unit,-119.65776,37.25601,2016-07-06T20:00:00Z,7/6/16,7/4/16,N,TRUE,FALSE
Kuehner Fire,TRUE,2016-07-01T19:50:00Z,2016-07-01T14:00:00Z,Ventura County Fire,Ventura,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",45,Ventura County Fire,-118.63264,34.27619,2016-07-01T19:50:00Z,7/1/16,7/1/16,N,TRUE,FALSE
Shelter Fire,TRUE,2016-07-12T10:30:00Z,2016-07-11T12:58:00Z,Ventura County Fire,Ventura,"off Volcan Mountain, north of Julian",15,Ventura County Fire,-116.58542,33.11645,2016-07-12T10:30:00Z,7/12/16,7/11/16,N,TRUE,FALSE
Pacheco Fire,TRUE,2016-07-16T18:30:00Z,2016-07-12T13:14:00Z,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"off Lanford Pacheco Rd, south of Valley Springs",341,CAL FIRE Tuolumne Calaveras Unit,-120.81394,38.08056,2016-07-16T18:30:00Z,7/16/16,7/12/16,N,TRUE,FALSE
Stagecoach Fire,TRUE,2016-07-13T19:00:00Z,2016-07-12T15:19:00Z,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"off Stagecoach Rd and Hwy 4, south of Copperopolis",35,CAL FIRE Tuolumne Calaveras Unit,-120.67335,37.96311,2016-07-13T19:00:00Z,7/13/16,7/12/16,N,TRUE,FALSE
Dunnigan Fire,TRUE,2016-07-15T15:40:00Z,2016-07-15T14:00:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"off County Road 86 & County Road 6, west of Dunnigan",84,CAL FIRE Sonoma-Lake-Napa Unit,-122.04726,38.8866,2016-07-15T15:40:00Z,7/15/16,7/15/16,N,TRUE,FALSE
Onyx Fire,TRUE,2016-07-14T12:00:00Z,2016-07-13T17:08:00Z,Kern County Fire / Sequoia National Forest ,Kern,"off Coyote Trail & Rocky Hill, East of Onyx",221,Kern County Fire / Sequoia National Forest ,-118.21793,35.68313,2016-07-14T12:00:00Z,7/14/16,7/13/16,N,TRUE,FALSE
Sherwood Fire,TRUE,2016-07-15T14:00:00Z,2016-07-13T15:52:00Z,Ventura County Fire Department,Ventura,"near Lake Sherwood, southwest of Thousand Oaks",78,Ventura County Fire Department,-119.39619,36.92244,2016-07-15T14:00:00Z,7/15/16,7/13/16,N,TRUE,FALSE
Famoso Fire,TRUE,2016-07-16T07:40:00Z,2016-07-15T23:55:00Z,Kern County Fire,Kern,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",138,Kern County Fire,-118.94811,35.60748,2016-07-16T07:40:00Z,7/16/16,7/15/16,N,TRUE,FALSE
Green Fire,TRUE,2016-07-16T18:00:00Z,2016-07-15T16:45:00Z,CAL FIRE Fresno County Fire,Fresno,"off Auberry Rd & White Thorne Rd, near Prather",123,CAL FIRE Fresno County Fire,-119.5792,37.0099,2016-07-16T18:00:00Z,7/16/16,7/15/16,N,TRUE,FALSE
Feather Fire,TRUE,2016-07-20T13:45:00Z,2016-07-18T13:08:00Z,CAL FIRE San Diego,San Diego,"off of El Capitan Truck Trail, south of Ramona ",100,CAL FIRE San Diego,-116.7945,32.9612,2016-07-20T13:45:00Z,7/20/16,7/18/16,N,TRUE,FALSE
Foothill Fire,TRUE,2016-07-22T18:15:00Z,2016-07-19T17:16:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"off Foothill Drive, community of Lucerne",69,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, North Shore Fire Protection District, Lake County Sheriff Department, and United States Forest Service",-122.7891,39.0863,2016-07-22T18:15:00Z,7/22/16,7/19/16,N,TRUE,FALSE
Bailey Fire,TRUE,2016-07-20T09:00:00Z,2016-07-19T14:09:00Z,CAL FIRE Siskiyou Unit,Siskiyou,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",26,CAL FIRE Siskiyou Unit,-122.59328,41.96191,2016-07-20T09:00:00Z,7/20/16,7/19/16,N,TRUE,FALSE
Goose Fire,TRUE,2016-08-09T18:30:00Z,2016-07-30T16:40:00Z,CAL FIRE Fresno-Kings Unit,Fresno,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",2241,"CAL FIRE Fresno-Kings Unit, US Forest Service, Fresno County OES, Fresno County Sheriff, California Department of Corrections, California Conservation Corps, California Highway Patrol, PG&E, CalTrans",-119.50507,37.01591,2016-08-09T18:30:00Z,8/9/16,7/30/16,N,TRUE,FALSE
Baker Fire,TRUE,2016-07-22T19:00:00Z,2016-07-21T15:06:00Z,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,off Baker St & School St near Copperopolis ,57,CAL FIRE Tuolumne-Calaveras Unit,-120.64241,37.98171,2016-07-22T19:00:00Z,7/22/16,7/21/16,N,TRUE,FALSE
Oak Fire,TRUE,2016-07-22T16:07:00Z,2016-07-22T13:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit/Vacaville Fire Department,Solano,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",57,CAL FIRE Sonoma-Lake-Napa Unit/Vacaville Fire Department,-122.02564,38.33475,2016-07-22T16:07:00Z,7/22/16,7/22/16,N,TRUE,FALSE
Roblar Fire,TRUE,2016-07-30T14:15:00Z,2016-07-21T16:06:00Z,Camp Pendleton Military Base,San Diego,Roblar Rd and Case Springs (Camp Pendleton),1245,Camp Pendleton Military Base,-117.35093,33.393,2016-07-30T14:15:00Z,7/30/16,7/21/16,N,FALSE,FALSE
Table Fire,TRUE,2016-07-22T12:00:00Z,2016-07-21T20:30:00Z,CAL FIRE Siskiyou Unit,Siskiyou,"Table Rock Rd & Harry Cash Rd, Montague",23,CAL FIRE Siskiyou Unit,-122.36924,41.71847,2016-07-22T12:00:00Z,7/22/16,7/21/16,N,TRUE,FALSE
Bradley Fire,TRUE,2016-07-23T08:45:00Z,2016-07-22T15:15:00Z,CAL FIRE San Benito-Monterey Unit,Monterey,"off Highway 101 and San Antonio River, south of Bradley ",100,CAL FIRE San Benito-Monterey Unit,-120.81081,35.85093,2016-07-23T08:45:00Z,7/23/16,7/22/16,N,TRUE,FALSE
Soberanes Fire,TRUE,2016-10-13T11:30:00Z,2016-07-22T08:48:00Z,US Forest Service - Los Padres National Forest,Monterey,"Soberanes Creek, Garrapata State Park, Palo Colorado, north of Big Sur",132127,US Forest Service - Los Padres National Forest,-121.89938,36.45994,2016-10-13T11:30:00Z,10/13/16,7/22/16,N,TRUE,FALSE
Holy Fire,TRUE,2016-09-05T06:55:00Z,2016-08-31T04:10:00Z,Cleveland National Forest,Orange,off Trabuco Creek Rd near Holy Jim Trail,150,Cleveland National Forest,-117.5221,33.6542,2016-09-05T06:55:00Z,9/5/16,8/31/16,N,FALSE,FALSE
Ken Fire,TRUE,2016-09-04T18:55:00Z,2016-09-03T21:51:00Z,San Bernardino National Forest,San Bernardino,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,20,San Bernardino National Forest,-117.4415,34.25858,2016-09-04T18:55:00Z,9/4/16,9/3/16,N,FALSE,FALSE
Saddle Fire,TRUE,2016-09-12T14:51:00Z,2016-09-05T16:28:00Z,CAL FIRE / Butte County Fire,Butte,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",850,"CAL FIRE / Butte County Fire, Butte County Sherrif's Office, CHP, State Parks, CalTrans, NVADG, Butte County Public Works, Town of Paradise Public Works, Paradise P.D. Butte EMS, Butte County Search & Rescue, US Forest Service, BLM, and the California Conservation Corp",-121.571,39.6871,2016-09-12T14:51:00Z,9/12/16,9/5/16,N,TRUE,FALSE
Ruff Fire ,TRUE,2016-09-15T09:10:00Z,2016-09-10T14:06:00Z,CAL FIRE Mendocino Unit,Mendocino,"off of Hwy 101 and Woodruff Rd, north of Laytonville",50,CAL FIRE Mendocino Unit,-123.5044,39.7299,2016-09-15T09:10:00Z,9/15/16,9/10/16,N,TRUE,FALSE
Spring Fire,TRUE,2016-09-09T06:00:00Z,2016-09-07T16:53:00Z,San Bernardino County Fire ,San Bernardino,"off of Hwy 138 & Los Flores Rd, south of Hesperia",50,San Bernardino County Fire ,-117.3189,34.3183,2016-09-09T06:00:00Z,9/9/16,9/7/16,N,TRUE,FALSE
Phoenix Fire,TRUE,1969-12-31T16:00:00Z,2016-09-07T15:09:00Z,Tahoe National Forest,Nevada,west of Fordyce Lake near Soda Springs ,38,Tahoe National Forest,-120.51887,39.39051,1969-12-31T16:00:00Z,12/31/69,9/7/16,N,FALSE,FALSE
Lake Fire,TRUE,2016-09-12T19:00:00Z,2016-09-10T15:45:00Z,CAL FIRE Shasta-Trinity Unit / Shasta Lake City Fire Department,Shasta,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",75,CAL FIRE Shasta-Trinity Unit / Shasta Lake City Fire Department,-122.4096,40.68192,2016-09-12T19:00:00Z,9/12/16,9/10/16,N,TRUE,FALSE
Storksbill Fire,TRUE,2016-07-23T18:00:00Z,2016-07-22T13:15:00Z,CAL FIRE Amador-El Dorado Unit,El Dorado,off Storksbill Rd in Pilot Hill ,50,"CAL FIRE Amador-El Dorado Unit, El Dorado Hills Fire, El Dorado County Fire, El Dorado County Sheriffs, BLM, State Parks, USFS, Garden Valley, CHP, Cameron Park Fire Deparment",-121.00299,38.79549,2016-07-23T18:00:00Z,7/23/16,7/22/16,N,TRUE,FALSE
Rock Fire,TRUE,2016-07-24T14:30:00Z,2016-07-22T14:47:00Z,CAL FIRE San Diego Unit,San Diego,"off Highway 67 & Rockhouse Road, near Ramona",28,CAL FIRE San Diego Unit,-116.9571,33.00056,2016-07-24T14:30:00Z,7/24/16,7/22/16,N,TRUE,FALSE
Franklin Fire,TRUE,2016-07-24T19:00:00Z,2016-07-24T16:30:00Z,CAL FIRE Santa Clara Unit,Contra Costa,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",40,CAL FIRE Santa Clara Unit,-122.1885,38.01264,2016-07-24T19:00:00Z,7/24/16,7/24/16,N,TRUE,FALSE
Fork Fire,TRUE,2016-07-31T18:55:00Z,2016-07-29T17:55:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Off Mammoth Pool Rd & Douglas Ranger Station Rd, east of North Fork",38,CAL FIRE Madera-Mariposa-Merced Unit,-119.4741,37.24006,2016-07-31T18:55:00Z,7/31/16,7/29/16,N,TRUE,FALSE
Frymire Fire,TRUE,2016-08-01T08:05:00Z,2016-07-30T17:25:00Z,CAL FIRE Tuolumne-Calaveras unit,Tuolumne,"Off Frymire Rd & Morrison Rd, east of Oakdale",32,CAL FIRE Tuolumne-Calaveras unit,-120.69521,37.81434,2016-08-01T08:05:00Z,8/1/16,7/30/16,N,TRUE,FALSE
Sierra Fire,TRUE,2016-07-31T18:30:00Z,2016-07-30T17:25:00Z,CAL FIRE Santa Clara Unit,Santa Clara,"Off Sierra Rd & Calaveras Rd, Spring Valley",114,CAL FIRE Santa Clara Unit,-121.79669,37.41896,2016-07-31T18:30:00Z,7/31/16,7/30/16,N,TRUE,FALSE
Gopher Fire,TRUE,2016-08-11T18:30:00Z,2016-08-10T09:14:00Z,CAL FIRE San Diego Unit,San Diego,"I-15 & Lawrence Welk Drive, Gopher Canyon",35,CAL FIRE San Diego Unit,-117.14547,33.22558,2016-08-11T18:30:00Z,8/11/16,8/10/16,N,TRUE,FALSE
Baker Fire,TRUE,2016-08-04T07:50:00Z,2016-08-03T17:27:00Z,CAL FIRE Tehama-Glenn Unit,Tehama,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",80,CAL FIRE Tehama-Glenn Unit,-122.26736,40.19611,2016-08-04T07:50:00Z,8/4/16,8/3/16,N,TRUE,FALSE
99 Fire,TRUE,2016-08-03T08:00:00Z,2016-08-02T14:35:00Z,CAL FIRE Butte Unit,Butte,"Off of Highway 99 and Neal Road, south of Chico",550,CAL FIRE Butte Unit,-121.7192,39.6708,2016-08-03T08:00:00Z,8/3/16,8/2/16,N,TRUE,FALSE
Cold Fire,TRUE,2016-08-12T15:00:00Z,2016-08-02T16:36:00Z,CAL FIRE Sonoma Lake Napa Unit,Yolo,"off of Highway 128 west of Pleasants Valley Road, west of Winters",5731,"CAL FIRE Sonoma Lake Napa Unit, Winters FPD, CHP, Napa County Sheriff, Yolo County Sheriff, Solano County Sheriff, CAL TRANS, CAL OES, BLM, Yolo County OES, City of Winters, PG&E, City of Vacaville and California Conservation Corps.o County Sheriff, Cal Trans, BLM, Cal OES, Yolo County OES, City of Winters, PG&E, City of Vacaville",-122.06788,38.52513,2016-08-12T15:00:00Z,8/12/16,8/2/16,N,TRUE,FALSE
Hart Fire,TRUE,2016-08-07T20:15:00Z,2016-08-04T17:10:00Z,Kern County Fire,Kern,"off Hwy 58 and Hart Flat Rd, Tehachapi ",100,Kern County Fire,-118.60344,35.24504,2016-08-07T20:15:00Z,8/7/16,8/4/16,N,TRUE,FALSE
Grub Fire,TRUE,2016-08-06T19:50:00Z,2016-08-04T14:13:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",85,CAL FIRE Madera-Mariposa-Merced Unit,-119.7738,37.3228,2016-08-06T19:50:00Z,8/6/16,8/4/16,N,TRUE,FALSE
Deer Fire,TRUE,2016-08-06T10:06:00Z,2016-08-05T13:49:00Z,CAL FIRE Amador - El Dorado Unit,Amador,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",26,CAL FIRE Amador - El Dorado Unit,-120.8657,38.2581,2016-08-06T10:06:00Z,8/6/16,8/5/16,N,TRUE,FALSE
Oak Fire,TRUE,2016-08-14T19:50:00Z,2016-08-12T16:00:00Z,CAL FIRE Santa Clara Unit,Santa Clara,off Uvas Rd & Watsonville Rd. west of Morgan Hill,25,CAL FIRE Santa Clara Unit,-121.68577,37.06531,2016-08-14T19:50:00Z,8/14/16,8/12/16,N,TRUE,FALSE
Pilot Fire,TRUE,2016-08-16T08:00:00Z,2016-08-07T12:18:00Z,San Bernardino National Forest,San Bernardino,"Pilot Rock & Hwy 138, southeast of Hesperia",8110,"San Bernardino National Forest, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, Bureau of Land Management, CALTRANS, San Bernardino County Animal Control, American Red Cross, Southern California Edison",-117.27338,34.28771,2016-08-16T08:00:00Z,8/16/16,8/7/16,N,TRUE,FALSE
Kugelman Fire,TRUE,2016-08-10T17:00:00Z,2016-08-09T17:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"off of Kugelman St and Hwy 53, community of Lower Lake",45,CAL FIRE Sonoma-Lake-Napa Unit,-120.51057,36.09974,2016-08-10T17:00:00Z,8/10/16,8/9/16,N,TRUE,FALSE
Knoxville Fire,TRUE,2016-08-10T17:00:00Z,2016-08-09T18:50:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",36,CAL FIRE Sonoma-Lake-Napa Unit,-122.26015,38.68403,2016-08-10T17:00:00Z,8/10/16,8/9/16,N,TRUE,FALSE
Mineral Fire,TRUE,2016-08-18T19:00:00Z,2016-08-09T13:08:00Z,CAL FIRE Fresno Kings Unit,Fresno,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",7050,"CAL FIRE Fresno Kings Unit, Fresno County Sheriffs Office, Fresno County OES, Fresno County Roads, Bureau Of Land Management, California Department of Corrections, City of Coalinga, California Conservation Corps, California Highway Patrol, CalTrans, Red Cross  www",-120.51057,36.09974,2016-08-18T19:00:00Z,8/18/16,8/9/16,N,TRUE,FALSE
Blue Cut Fire,TRUE,2016-08-23T07:45:00Z,2016-08-16T10:44:00Z,San Bernardino National Forest ,San Bernardino,"off of I-15 and Hwy 138, north of San Bernardino ",36274,"San Bernardino National Forest , BNSF Railway, Union Pacific Railway, Cal Trans, Southern California Edison, LA DWP, American Red Cross, San Bernardino Animal Control, California Department of Corrections and Rehabilitation and the California Highway Patrol",-117.49342,34.30372,2016-08-23T07:45:00Z,8/23/16,8/16/16,N,TRUE,FALSE
Mountain Fire,TRUE,2016-08-10T17:00:00Z,2016-08-09T12:14:00Z,CAL FIRE Shasta-Trinity Unit,Shasta,"Near Iron Mountain Road, south of Keswick ",35,CAL FIRE Shasta-Trinity Unit,-122.47091,40.61213,2016-08-10T17:00:00Z,8/10/16,8/9/16,N,TRUE,FALSE
Summit Fire,TRUE,2016-08-19T08:30:00Z,2016-08-12T17:23:00Z,CAL FIRE Humboldt-Del Norte,Humboldt,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,21,CAL FIRE Humboldt-Del Norte,-123.77832,40.9878,2016-08-19T08:30:00Z,8/19/16,8/12/16,N,TRUE,FALSE
