incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Contra Costa,274.0,CAL FIRE Santa Clara Unit,2013-07-01,2013-07-01,0.0
Monterey,105.0,CAL FIRE San Benito-Monterey Unit ,2013-06-29,2013-06-29,0.0
Contra Costa,492.0,CAL FIRE Santa Clara Unit,2013-07-01,2013-07-01,0.0
,754.0,CAL FIRE Northern Region,2013-07-02,2013-07-04,2.0
Modoc,502.0,CAL FIRE Lassen-Modoc Unit,2013-07-03,2013-07-05,2.0
Tehama,200.0,CAL FIRE Tehama-Glenn Unit,2013-07-04,2013-07-04,0.0
Alameda,50.0,CAL FIRE Santa Clara Unit,2013-07-04,2013-07-04,0.0
Alameda,38.0,CAL FIRE Santa Clara Unit / Alameda County Fire,2013-07-06,2013-07-06,0.0
San Diego,7055.0,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",2013-07-06,2013-07-15,9.0
San Luis Obispo,85.0,CAL FIRE San Luis Obispo,2013-07-07,2013-07-07,0.0
Yuba,73.0,CAL FIRE Nevada-Placer-Yuba Unit,2013-07-08,2013-07-08,0.0
Shasta,43.0,CAL FIRE Shasta-Trinity Unit,2013-07-09,2013-07-09,0.0
El Dorado,572.0,Eldorado National Forest,2013-07-08,2013-07-11,3.0
Santa Clara,50.0,CAL FIRE Santa Clara Unit,2013-07-12,2013-07-12,0.0
Stanislaus,150.0,CAL FIRE Santa Clara Unit,2013-07-12,2013-07-13,1.0
Riverside,27531.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013-07-15,2013-07-30,15.0
Humboldt,0.0,Six Rivers National Forest,2013-08-03,2013-08-03,0.0
San Bernardino,75.0,San Bernardino County Fire,2013-07-25,2013-07-26,1.0
San Diego,25.0,CAL FIRE San Diego Unit,2013-07-28,2013-07-28,0.0
Fresno,22992.0,Sierra National Forest,2013-07-22,2013-09-24,64.0
Siskiyou,14754.0,Klamath National Forest,2013-07-31,2013-08-31,31.0
Butte,92.0,CAL FIRE Butte Unit,2013-08-01,2013-08-04,3.0
Riverside,150.0,CAL FIRE / Riverside County Fire,2013-07-16,2013-07-17,1.0
Riverside,60.0,CAL FIRE/Riverside County  Fire,2013-08-04,2013-08-04,0.0
Kern,612.0,Kern County Fire,2013-07-23,2013-07-25,2.0
Mendocino,45.0,CAL FIRE Mendocino Unit,2013-07-23,2013-07-23,0.0
Kern,712.0,"CAL FIRE / Kern County Fire / State Parks / US Forest Service, Cal Fire, United States Forest Service, Ventura County Fire, Kern County Sheriff Department, Calif State Parks, Calif Highway Patrol",2013-07-19,2013-07-22,3.0
Tehama,195.0,CAL FIRE Tehama-Glenn Unit,2013-07-19,2013-07-19,0.0
Sonoma,158.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-07-26,2013-07-26,0.0
"El Dorado, Sacramento",163.0,CAL FIRE / Sacramento Metropolitan Fire,2013-07-19,2013-07-19,0.0
Riverside,40.0,CAL FIRE / Riverside County Fire,2013-07-19,2013-07-20,1.0
Riverside,15.0,CAL FIRE / Riverside County Fire,2013-07-19,2013-07-19,0.0
Calaveras,31.0,CAL FIRE Tuolumne-Calaveras Unit,2013-07-22,2013-07-23,1.0
Tuolumne,1070.0,Stanislaus National Forest,2013-08-05,2013-08-14,9.0
Riverside,1383.0,Cleveland National Forest / CAL FIRE Riverside Unit,2013-08-05,2013-08-09,4.0
