incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Humboldt,20.0,CAL FIRE Humboldt-Del Norte Unit ,2015-06-10,2015-06-11,1.0
Trinity,1542.0,USFS Shasta-Trinity National Forest ,2015-06-10,2015-06-29,19.0
Kern,67.0,Kern County Fire,2015-06-15,2015-06-15,0.0
Napa,38.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire Department, St Helena City Fire Department, Napa County Roads, and California Highway Patrol.",2015-06-16,2015-06-17,1.0
Amador,60.0,CAL FIRE Amador-El Dorado Unit,2015-06-16,2015-06-17,1.0
Tehama,55.0,CAL FIRE Tehama-Glenn Unit,2015-06-17,2015-06-17,0.0
San Diego,171.0,CAL FIRE San Diego Unit,2015-06-17,2015-06-19,2.0
San Bernardino,31359.0,CAL FIRE / San Bernardino National Forest / San Bernardino County Fire/ San Bernardino County Sheriffs,2015-06-17,2015-08-01,45.0
Yuba,158.0,"CAL FIRE Nevada-Yuba-Placer Unit, CAL FIRE, Yuba County Sheriff's Department, Dobbins Fire, Loma Rica Fire, Browns Valley Fire, CHP, Bi-County Ambulance",2015-06-18,2015-06-22,4.0
Madera,920.0,"CAL FIRE Madera-Mariposa-Merced Unit, CAL FIRE, USFS, Madera County Fire Department, Madera County Sheriff’s Department, PG&E, Red Cross, CAL OES, CHP and additional resources from the central valley.",2015-06-18,2015-06-25,7.0
Madera,135.0,CAL FIRE Madera-Mariposa-Merced Unit,2015-06-21,2015-06-23,2.0
Lassen,60.0,CAL FIRE Lassen-Modoc Unit,2015-06-19,2015-06-20,1.0
,533.0,CAL FIRE Santa Clara Unit/Contra Costa County Fire ,2015-06-24,2015-06-25,1.0
Alpine,0.0,US Forest Service - Humboldt - Toiyabe National Forest,2015-06-19,2015-06-22,3.0
Los Angeles,415.0,Los Angeles County Fire ,2015-06-24,2015-06-26,2.0
San Bernardino,100.0,San Bernardino National Forest,2015-06-25,2015-06-29,4.0
Napa,19.0,CAL FIRE Sonoma-Lake-Napa Unit,2015-06-27,2015-06-28,1.0
Mendocino,35.0,CAL FIRE Mendocino Unit,2015-06-28,2015-06-29,1.0
Tehama,170.0,CAL FIRE Tehama-Glenn Unit,2015-07-04,2015-07-04,0.0
Mendocino,23.0,CAL FIRE Mendocino Unit,2015-07-04,2015-07-05,1.0
Solano,150.0,"CAL FIRE Sonoma-Lake-Napa, CAL FIRE, Vacaville Fire Protection District, Vacaville City, Dixon FD, Suisun FPD, UC Davis FD, CMF of Vacaville, Solano SO, CHP, Winters FPD, Travis AFB, Cordella FPD, Solano OES, Fairfield FD, Montezuma Fire District, Suisun City FD",2015-07-06,2015-07-08,2.0
Solano,40.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Vallejo City Fire Department, Benicia Fire Department, Cordelia Fire Department",2015-07-10,2015-07-10,0.0
Shasta,18.0,"CAL FIRE Shasta-Trinity Unit, CAL FIRE, Shasta County Fire Department, Redding Fire Department",2015-07-07,2015-07-08,1.0
San Bernardino,54.0,CAL FIRE San Bernardino Unit/San Bernardino National Forest ,2015-07-12,2015-07-21,9.0
San Luis Obispo,95.0,CAL FIRE San Luis Obispo Unit,2015-07-10,2015-07-15,5.0
Riverside,21.0,"CAL FIRE Riverside County Fire, CAL FIRE/Riverside, CAL FIRE/San Bernardino, March ARB, Riverside County Fire Department",2015-07-12,2015-07-12,0.0
Orange,214.0,Orange County Fire Authority,2015-07-13,2015-07-15,2.0
Siskiyou,181.0,CAL FIRE Siskiyou Unit ,2015-07-13,2015-07-14,1.0
San Diego,25.0,CAL FIRE San Diego Unit,2015-07-16,2015-07-17,1.0
San Bernardino,4250.0,CAL FIRE San Bernardino Unit/ San Bernardino National Forest / San Bernardino County Fire ,2015-07-17,2015-07-21,4.0
Los Angeles,200.0,USFS - Angeles National Forest ,2015-07-17,2015-08-04,18.0
San Benito,25.0,CAL FIRE San Benito-Monterey Unit,2015-07-20,2015-07-20,0.0
Tulare,430.0,CAL FIRE Tulare Unit,2015-07-21,2015-07-26,5.0
Siskiyou,24.0,"CAL FIRE Siskiyou Unit, SISKIYOU COUNTY SHERIFF’S DEPARTMENT, CHP, DORRIS FIRE, BUTTE VALLEY FIRE, KLAMATH NATIONAL FOREST",2015-07-21,2015-07-22,1.0
,8051.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Winters FPD, Vacaville FPD, Vacaville City Fire, City of Winters, Napa County Sheriff, Solano County Sheriff, Yolo County Sheriff, CHP, Red Cross, PG&E, Napa County Road Department, CDCR, CalOES, Salvation Army, CCC, BLM, CalTrans, Air Resources Board, Bureau of Reclamation, Yocha Dehe Wintun Nation, and CAL FIRE Incident Management Team 6",2015-07-22,2015-08-05,14.0
Napa,65.0,"CAL FIRE Sonoma-Lake-Napa Unit, Napa County Fire, Napa County Office of Emergency Services, Napa County Sheriff’s  Office, CA Highway Patrol, CA Dept. of Corrections and Rehabilitation",2016-10-10,2016-10-12,2.0
Placer,26.0,CAL FIRE Nevada Yuba Placer Unit,2015-07-22,2015-07-22,0.0
El Dorado,75.0,USFS - El Dorado National Forest ,2015-07-23,2015-07-29,6.0
Modoc,116.0,CAL FIRE Lassen-Modoc Unit,2015-07-23,2015-07-26,3.0
Modoc,77.0,CAL FIRE Lassen-Modoc Unit,2015-07-23,2015-07-25,2.0
San Diego,167.0,USFS - Cleveland National Forest,2015-07-24,2015-07-26,2.0
San Diego,25.0,CAL FIRE San Diego Unit,2015-07-24,2015-07-25,1.0
Nevada,2304.0,"CAL FIRE Nevada-Yuba-Placer Unit, Cal OES, California National Guard, CHP, Nevada County Sheriff, Placer County Sheriff, USFS, BLM, California Conservation Corps, SPI, and PG&E.",2015-07-25,2015-08-12,18.0
Humboldt,158.0,"CAL FIRE Humboldt-Del Norte Unit, California Department of Corrections and Rehabilitation",2015-07-24,2015-08-01,8.0
Madera,5702.0,US Forest Service - Sierra National Forest ,2015-07-25,2015-08-13,19.0
Calaveras,114.0,CAL FIRE Tuolumne Calaveras Unit,2015-08-13,2015-08-18,5.0
Stanislaus,40.0,CAL FIRE Santa Clara Unit,2015-07-28,2015-07-28,0.0
Humboldt,16.0,CAL FIRE Humboldt-Del Norte Unit,2015-07-28,2015-07-31,3.0
Tulare,6980.0,USFS - Sequoia National Forest,2015-07-19,2015-09-05,48.0
Butte,400.0,"CAL FIRE Butte Unit, CAL FIRE, CHP, GCSO, PG&E, Red Cross, North Valley Animal Disaster Group, Butte County OEM.",2015-07-29,2015-08-03,5.0
Lake,69438.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, California Army National Guard, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, CHP, CDCR, BLM, USFS, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Lake County Sheriff, Lake County fire agencies, Salvation Army, Yolo County Sheriff, Colusa County Sheriff, Napa County Sheriff, Pacific Gas and Electric, Nevada Division of Forestry, NVADG, Cal Trans, California Conservations Corps and Lake County EOC.",2015-07-29,2015-08-14,16.0
Shasta,75.0,"CAL FIRE Shasta-Trinity Unit, CAL FIRE, Shasta County Fire Department, Millville Fire Protection District, PG&E, Shasta County Sheriff’s Department, California Department of Corrections and Rehabilitation, California Highway Patrol",2015-07-29,2015-07-31,2.0
Shasta,212.0,CAL FIRE Shasta-Trinity Unit,2015-07-29,2015-08-01,3.0
Tuolumne,204.0,"CAL FIRE Tuolumne-Calaveras Unit, US Forest Service, Tuolumne County Fire Department, Stanislaus Consolidated, Copperopolis Fire, Central Fire, San Andreas Fire, Georgetown, Diamond Springs, Santa Barbara County, Groveland Community Services District, Lathrop – Manteca, Los Angeles County, Orange County, Carson City, Storey County, Sparks Fire Department, East Fork Fire and Paramedic District, Central Line County, California Office of Emergency Services, California Department of Corrections, Hetch Hetchy Water and Power, PG&E, California Highway Patrol, Tuolumne County.",2015-07-29,2015-08-04,6.0
Tuolumne,112.0,CAL FIRE Tuolumne-Calaveras Unit,2015-08-15,2015-08-16,1.0
Contra Costa,195.0,CAL FIRE Santa Clara Unit,2015-07-30,2015-07-30,0.0
Shasta,90.0,CAL FIRE Shasta-Trinity Unit,2015-07-30,2015-07-31,1.0
Tulare,86.0,CAL FIRE Tulare Unit,2015-07-30,2015-08-05,6.0
Mendocino,50.0,CAL FIRE Mendocino Unit,2015-07-30,2015-08-03,4.0
Riverside,543.0,CAL FIRE/Riverside County Fire,2015-08-10,2015-08-15,5.0
Modoc,4863.0,USFS Modoc National Forest,2015-07-30,2015-07-31,1.0
Shasta,75.0,CAL FIRE Shasta-Trinity Unit,2015-08-02,2015-08-04,2.0
Santa Barbara,52.0,Santa Barbara County Fire,2015-08-01,1969-12-31,-16649.0
Yuba,30.0,CAL FIRE Nevada-Yuba-Placer Unit,2015-08-03,2015-08-05,2.0
Shasta,59.0,CAL FIRE Shasta-Trinity Unit,2015-08-03,2015-08-04,1.0
Lassen,10570.0,Bureau of Land Management,2015-08-03,2015-08-04,1.0
San Diego,55.0,CAL FIRE San Diego Unit,2015-08-09,2015-08-10,1.0
Tehama,110.0,CAL FIRE Tehama-Glenn Unit,2015-08-08,2015-08-09,1.0
"Lake, Napa",25118.0,"CAL FIRE Sonoma-Lake-Napa Unit, Lake County Sheriff, Lake County Fire Agencies, California National Guard, CDCR, CHP, USFS, BLM, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Salvation Army, Yolo County Sheriff, Napa County Sheriff, Colusa County Sheriff, Pacific Gas and Electric, and  Cal Trans.",2015-08-09,2015-08-25,16.0
San Luis Obispo,2446.0,"CAL FIRE San Luis Obispo Unit/ Los Padres National Forest , San Luis Obispo County Sheriff, San Luis Obispo County OES, California Highway Patrol, CAL OES, California Department of Corrections and Rehabilitation, Bureau of Land Management, California Conservation Corps, and the American Red Cross, California National Guard",2015-08-16,2015-08-28,12.0
Humboldt,146.0,"CAL FIRE Humboldt-Del Norte Unit, BLM, CDCR, CCC, Humboldt Co. Sheriff, Humboldt OES, Shelter Cove Fire, Briceland Fire",2015-08-18,2015-08-29,11.0
Alameda,2700.0,CAL FIRE Santa Clara Unit,2015-08-19,2015-08-22,3.0
Lake,22.0,CAL FIRE Sonoma Lake Napa,2015-08-24,2015-08-25,1.0
Lake,215.0,"CAL FIRE Sonoma-Lake-Napa Unit, Kelseyville FD, South Lake FPD, Lake Co. Sheriff, PG&E, CDCR",2015-08-22,2015-08-27,5.0
San Bernardino,55.0,USFS - San Bernardino National Forest,2015-08-23,2015-09-11,19.0
Trinity,128.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Weaverville Fire Department, Lewiston Volunteer Fire Department, Douglas City Volunteer Fire Department, United States Forest Service, Trinity County Sherriff’s Office, Bureau of Land Management, American Red Cross, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol",2015-08-25,2015-08-29,4.0
Lake,673.0,"CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest, CALFIRE, USFS, North Shore Fire District, Lake County Sheriff’s Office and CHP.",2015-09-02,2015-09-08,6.0
Butte,72.0,"CAL FIRE Butte Unit, CHP, Plumas National Forest, Butte County Public Works and PG&E",2015-09-02,2015-09-03,1.0
Lassen,30.0,CAL FIRE Lassen-Modoc Unit,2015-08-29,2015-08-30,1.0
Tuolumne,108.0,"CAL FIRE Tuolumne-Calaveras Unit, California Department of Corrections, California Highway Patrol, Stanislaus National Forest, Tuolumne County Fire Department, Twain Harte C.S.D. Fire-Rescue, Tuolumne County Sheriff’s Department; Tuolumne County Road Department, American Red Cross, PG&E; AT&T; Comcast.",2015-09-08,2015-09-15,7.0
Trinity,35.0,CAL FIRE Shasta-Trinity Unit,2015-09-08,2015-09-10,2.0
Lassen,40.0,CAL FIRE Lassen - Modoc Unit,2015-09-09,2015-09-10,1.0
Fresno,170.0,CAL FIRE Fresno Kings Unit,2015-09-09,2015-09-11,2.0
,70868.0,"CAL FIRE Amador - El Dorado Unit, Amador County Sheriff, Calaveras County Sheriff, CAL OES, BLM, PG&E, CHP, Amador Fire Protection District, Calaveras PUD, CDCR, Sutter Creek Fire Department, CALTRANS, State Parks, California Conservation Corp.",2015-09-09,2015-10-15,36.0
Butte,1042.0,"CAL FIRE Butte Unit, Butte County Sheriff’s Office, California State Parks, California Highway Patrol, United States Forest Service, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California Conservation Corps, Pacific Gas and Electric, Butte Emergency Medical Services, Butte County Public Works and American Red Cross.",2015-09-11,2015-09-17,6.0
Shasta,109.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Happy Valley Fire Protection District, Shasta Fire Department, Redding Fire Department, Millville Fire Protection District, Anderson Fire Protection District, Mountain Gate Fire Department",2015-09-11,2015-09-13,2.0
Butte,104.0,CAL FIRE Butte Unit ,2015-10-02,2015-10-02,0.0
Fresno,151623.0,Sierra National Forest ,2015-07-31,2015-11-09,101.0
Merced,30.0,CAL FIRE Madera-Mariposa-Merced Unit,2016-04-24,2016-04-24,0.0
,1388.0,Ventura County Fire Department,2015-12-25,2015-12-29,4.0
Ventura,50.0,Ventura County Fire Department,2015-11-07,2015-11-07,0.0
San Benito,670.0,CAL FIRE San Benito - Monterey Unit,2015-10-12,2015-10-16,4.0
Santa Barbara,21.0,Los Padres National Forest,2015-10-29,2015-11-09,11.0
Nevada,30.0,CAL FIRE Nevada-Yuba-Placer Unit,2015-09-22,2015-09-21,-1.0
Monterey,1086.0,"CAL FIRE San Benito-Monterey Unit, Monterey County Sheriff, USFS Los Padres, CHP, Red Cross, Monterey County Regional FPD, CAL Trans, Cachaqua FPD, OES, SPCA of Monterey County, Monterey County EOC, PG&E, Monterey County Public Works, California Department of Corrections and Rehabilitation.",2015-09-19,2015-09-27,8.0
Monterey,95.0,CAL FIRE San Benito-Monterey Unit,2015-09-19,2015-09-21,2.0
Los Angeles,0.0,Los Angeles County Fire,2016-04-19,2016-04-19,0.0
Tuolumne,85.0,CAL FIRE Tuolumne-Calaveras Unit,2016-05-30,2016-06-01,2.0
Monterey,3876.0,CAL FIRE San Benito-Monterey Unit,2016-05-22,2016-05-25,3.0
Los Angeles,156.0,LA County Fire Department/Angeles National Forest,2016-05-23,2016-05-25,2.0
Fresno,278.0,CAL FIRE Fresno-Kings Unit,2016-05-25,2016-05-25,0.0
Stanislaus,120.0,CAL FIRE Santa Clara Unit,2016-06-07,2016-06-09,2.0
Butte,91.0,CAL FIRE Butte Unit,2016-05-27,2016-05-27,0.0
Butte,30.0,"CAL FIRE Butte Unit, CHP, STATE PARKS, BUTTE VALLEY VOLUNTEERS, NORTH METRO VOLUNTEERS, GOLDEN FEATHER VOLUNTEERS.",2016-05-29,2016-05-29,0.0
San Luis Obispo,150.0,CAL FIRE San Luis Obispo Unit,2016-05-10,2016-05-10,0.0
Monterey,25.0,CAL FIRE San Benito-Monterey Unit,2016-05-12,2016-05-12,0.0
Fresno,132.0,CAL FIRE Fresno-Kings Unit,2016-05-15,2016-05-17,2.0
Placer,169.0,CAL FIRE Nevada-Yuba-Placer Unit,2016-05-17,2016-05-19,2.0
San Diego,70.0,CAL FIRE San Diego Unit,2016-05-31,2016-06-07,7.0
Tulare,0.0,Bureau of Land Management,2016-06-01,2016-06-19,18.0
Butte,112.0,CAL FIRE Butte Unit,2016-06-20,2016-06-20,0.0
San Luis Obispo,86.0,CAL FIRE San Luis Obispo Unit,2016-06-27,2016-06-29,2.0
Calaveras,33.0,CAL FIRE Tuolumne-Calaveras Unit,2016-06-27,2016-06-30,3.0
Tehama,43.0,CAL FIRE Tehama-Glenn Unit,2016-06-21,2016-06-21,0.0
Placer,88.0,CAL FIRE Nevada Yuba Placer Unit,2016-06-21,2016-06-21,0.0
El Dorado,25.0,CAL FIRE Amador El-Dorado,2016-06-03,2016-06-04,1.0
San Benito,30.0,CAL FIRE San Benito Monterey Unit,2016-06-03,2016-06-03,0.0
Sacramento,32.0,CAL FIRE Amador El-Dorado,2016-06-03,2016-06-03,0.0
Riverside,139.0,CAL FIRE Riverside County Fire,2016-06-04,2016-06-07,3.0
Monterey,2520.0,Los Padres National Forest,2016-06-04,2016-06-20,16.0
San Luis Obispo,0.0,Bureau of Land Management ,2016-06-04,2016-06-19,15.0
Shasta,24.0,CAL FIRE Shasta Trinity Unit,2016-06-11,2016-06-12,1.0
Amador,210.0,CAL FIRE Amador El-Dorado Unit,2016-06-17,2016-06-21,4.0
San Diego,7609.0,"CAL FIRE San Diego Unit, SDG&E, San Diego County Fire, Border Patrol, Cal Trans, CHP, San Diego Sheriff, BLM, California Department of Corrections and Rehabilitation, Red Cross, 2-1-1, San Diego County OES",2016-06-19,2016-06-30,11.0
Monterey,70.0,CAL FIRE San Benito-Monterey Unit,2016-06-18,2016-06-20,2.0
Tehama,80.0,CAL FIRE Tehama Glenn Unit,2016-06-11,2016-06-11,0.0
Kern,61.0,Kern County Fire Department,2016-06-11,2016-06-12,1.0
San Benito,83.0,CAL FIRE San Benito Monterey Unit,2016-06-12,2016-06-12,0.0
Siskiyou,2860.0,USFS Klamath National Forest ,2016-06-07,2016-11-08,154.0
Santa Barbara,7474.0,U.S Los Padres National Forest ,2016-06-15,2016-07-12,27.0
Yolo,277.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-06-26,2016-06-27,1.0
Butte,49.0,CAL FIRE Butte County Fire,2016-06-21,2016-06-21,0.0
Kern,48019.0,Bureau of Land Management,2016-06-23,2016-07-11,18.0
Monterey,52.0,CAL FIRE San Benito-Monterey Unit,2016-06-23,2016-06-24,1.0
Merced,1246.0,CAL FIRE Madera-Mariposa-Merced Unit,2016-06-25,2016-06-26,1.0
Orange,47.0,Orange County Fire Authority,2016-06-26,2016-06-29,3.0
Alameda,211.0,CAL FIRE Santa Clara Unit,2016-06-25,2016-06-26,1.0
Mono,650.0,Inyo National Forest,2016-06-25,2016-07-09,14.0
Lake,215.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-06-26,2016-06-28,2.0
"El Dorado, Placer",5646.0,"CAL FIRE Nevada-Yuba-Placer Unit / El Dorado National Forest, CAL FIRE, US Forest Service, Placer County Sheriff’s Department, El Dorado County Sheriff’s Department, California Highway Patrol, California Office of Emergency Services, and local fire departments from across the region.",2016-06-28,2016-07-18,20.0
Amador,372.0,CAL FIRE Amador- El Dorado Unit,2016-06-28,2016-06-29,1.0
Fresno,188.0,CAL FIRE Fresno County Fire,2016-07-11,2016-07-13,2.0
Los Angeles,1109.0,Los Angeles County Fire,2016-07-09,2016-07-16,7.0
San Benito,95.0,CAL FIRE San Benito-Monterey Unit,2016-07-09,2016-07-10,1.0
Kern,554.0,Kern County Fire,2016-07-08,2016-07-10,2.0
Shasta,441.0,"CAL FIRE Shasta-Trinity Unit, Redding Fire Department, Shasta County Fire Department, Shasta County Public Works, Shasta County Sheriff's Department and CHP",2016-07-08,2016-07-12,4.0
Tehama,464.0,"CAL FIRE Tehama-Glenn Unit, Mendocino National Forest",2016-06-30,2016-07-04,4.0
Kern,1785.0,"Kern County Fire, Kern County Fire/OES, Kern County Sheriff, CHP, Bear Valley CSD, CalOES, CDCR, American Red Cross, Cal Edison, Tejon Ranch, CCC.",2016-07-01,2016-07-08,7.0
Ventura,2304.0,Los Padres National Forest,2016-06-30,2016-06-30,0.0
Tehama,88.0,CAL FIRE Tehama-Glen Unit,2016-07-01,2016-07-01,0.0
Fresno,2944.0,"CAL FIRE Fresno Unit, Fresno County Sheriff’s Office, California Highway Patrol, PG&E, Cal Trans, California Department of Corrections and Rehabilitation, BLM.",2016-07-01,2016-07-05,4.0
Inyo,30.0,CAL FIRE San Bernardino Unit,2016-07-01,2016-07-02,1.0
Calaveras,310.0,CAL FIRE Tuolumne-Calaveras Unit,2016-07-02,2016-07-08,6.0
Sacramento,87.0,CAL FIRE Amador-Eldorado Unit,2016-07-10,2016-07-11,1.0
Fresno,145.0,CAL FIRE Fresno-Kings Unit,2016-07-04,2016-07-07,3.0
Madera,103.0,CAL FIRE Madera-Mariposa-Merced Unit,2016-07-04,2016-07-06,2.0
Ventura,45.0,Ventura County Fire,2016-07-01,2016-07-01,0.0
Ventura,15.0,Ventura County Fire,2016-07-11,2016-07-12,1.0
Calaveras,341.0,CAL FIRE Tuolumne Calaveras Unit,2016-07-12,2016-07-16,4.0
Calaveras,35.0,CAL FIRE Tuolumne Calaveras Unit,2016-07-12,2016-07-13,1.0
Yolo,84.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-07-15,2016-07-15,0.0
Kern,221.0,Kern County Fire / Sequoia National Forest ,2016-07-13,2016-07-14,1.0
Ventura,78.0,Ventura County Fire Department,2016-07-13,2016-07-15,2.0
Kern,138.0,Kern County Fire,2016-07-15,2016-07-16,1.0
Fresno,123.0,CAL FIRE Fresno County Fire,2016-07-15,2016-07-16,1.0
San Diego,100.0,CAL FIRE San Diego,2016-07-18,2016-07-20,2.0
Lake,69.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, North Shore Fire Protection District, Lake County Sheriff Department, and United States Forest Service",2016-07-19,2016-07-22,3.0
Siskiyou,26.0,CAL FIRE Siskiyou Unit,2016-07-19,2016-07-20,1.0
Fresno,2241.0,"CAL FIRE Fresno-Kings Unit, US Forest Service, Fresno County OES, Fresno County Sheriff, California Department of Corrections, California Conservation Corps, California Highway Patrol, PG&E, CalTrans",2016-07-30,2016-08-09,10.0
Calaveras,57.0,CAL FIRE Tuolumne-Calaveras Unit,2016-07-21,2016-07-22,1.0
Solano,57.0,CAL FIRE Sonoma-Lake-Napa Unit/Vacaville Fire Department,2016-07-22,2016-07-22,0.0
San Diego,1245.0,Camp Pendleton Military Base,2016-07-21,2016-07-30,9.0
Siskiyou,23.0,CAL FIRE Siskiyou Unit,2016-07-21,2016-07-22,1.0
Monterey,100.0,CAL FIRE San Benito-Monterey Unit,2016-07-22,2016-07-23,1.0
Monterey,132127.0,US Forest Service - Los Padres National Forest,2016-07-22,2016-10-13,83.0
Orange,150.0,Cleveland National Forest,2016-08-31,2016-09-05,5.0
San Bernardino,20.0,San Bernardino National Forest,2016-09-03,2016-09-04,1.0
Butte,850.0,"CAL FIRE / Butte County Fire, Butte County Sherrif's Office, CHP, State Parks, CalTrans, NVADG, Butte County Public Works, Town of Paradise Public Works, Paradise P.D. Butte EMS, Butte County Search & Rescue, US Forest Service, BLM, and the California Conservation Corp",2016-09-05,2016-09-12,7.0
Mendocino,50.0,CAL FIRE Mendocino Unit,2016-09-10,2016-09-15,5.0
San Bernardino,50.0,San Bernardino County Fire ,2016-09-07,2016-09-09,2.0
Nevada,38.0,Tahoe National Forest,2016-09-07,1969-12-31,-17052.0
Shasta,75.0,CAL FIRE Shasta-Trinity Unit / Shasta Lake City Fire Department,2016-09-10,2016-09-12,2.0
El Dorado,50.0,"CAL FIRE Amador-El Dorado Unit, El Dorado Hills Fire, El Dorado County Fire, El Dorado County Sheriffs, BLM, State Parks, USFS, Garden Valley, CHP, Cameron Park Fire Deparment",2016-07-22,2016-07-23,1.0
San Diego,28.0,CAL FIRE San Diego Unit,2016-07-22,2016-07-24,2.0
Contra Costa,40.0,CAL FIRE Santa Clara Unit,2016-07-24,2016-07-24,0.0
Madera,38.0,CAL FIRE Madera-Mariposa-Merced Unit,2016-07-29,2016-07-31,2.0
Tuolumne,32.0,CAL FIRE Tuolumne-Calaveras unit,2016-07-30,2016-08-01,2.0
Santa Clara,114.0,CAL FIRE Santa Clara Unit,2016-07-30,2016-07-31,1.0
San Diego,35.0,CAL FIRE San Diego Unit,2016-08-10,2016-08-11,1.0
Tehama,80.0,CAL FIRE Tehama-Glenn Unit,2016-08-03,2016-08-04,1.0
Butte,550.0,CAL FIRE Butte Unit,2016-08-02,2016-08-03,1.0
Yolo,5731.0,"CAL FIRE Sonoma Lake Napa Unit, Winters FPD, CHP, Napa County Sheriff, Yolo County Sheriff, Solano County Sheriff, CAL TRANS, CAL OES, BLM, Yolo County OES, City of Winters, PG&E, City of Vacaville and California Conservation Corps.o County Sheriff, Cal Trans, BLM, Cal OES, Yolo County OES, City of Winters, PG&E, City of Vacaville",2016-08-02,2016-08-12,10.0
Kern,100.0,Kern County Fire,2016-08-04,2016-08-07,3.0
Madera,85.0,CAL FIRE Madera-Mariposa-Merced Unit,2016-08-04,2016-08-06,2.0
Amador,26.0,CAL FIRE Amador - El Dorado Unit,2016-08-05,2016-08-06,1.0
Santa Clara,25.0,CAL FIRE Santa Clara Unit,2016-08-12,2016-08-14,2.0
San Bernardino,8110.0,"San Bernardino National Forest, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, Bureau of Land Management, CALTRANS, San Bernardino County Animal Control, American Red Cross, Southern California Edison",2016-08-07,2016-08-16,9.0
Lake,45.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-08-09,2016-08-10,1.0
Lake,36.0,CAL FIRE Sonoma-Lake-Napa Unit,2016-08-09,2016-08-10,1.0
Fresno,7050.0,"CAL FIRE Fresno Kings Unit, Fresno County Sheriffs Office, Fresno County OES, Fresno County Roads, Bureau Of Land Management, California Department of Corrections, City of Coalinga, California Conservation Corps, California Highway Patrol, CalTrans, Red Cross  www",2016-08-09,2016-08-18,9.0
San Bernardino,36274.0,"San Bernardino National Forest , BNSF Railway, Union Pacific Railway, Cal Trans, Southern California Edison, LA DWP, American Red Cross, San Bernardino Animal Control, California Department of Corrections and Rehabilitation and the California Highway Patrol",2016-08-16,2016-08-23,7.0
Shasta,35.0,CAL FIRE Shasta-Trinity Unit,2016-08-09,2016-08-10,1.0
Humboldt,21.0,CAL FIRE Humboldt-Del Norte,2016-08-12,2016-08-19,7.0
San Luis Obispo,46344.0,"CAL FIRE San Luis Obispo Unit, California Highway Patrol, California State Parks, San Luis Obispo County Sheriff, Red Cross, California Department of Corrections and Rehabilitation, California Conservation Corps, PG&E, San Luis Obispo Air Quality Board, San Luis Obispo Public Works, Paso Robles Fire Department, Monterey Co. Water Resource Board, California Department of Fish and Wildlife, US Army Camp Roberts, CAL-OES, San Luis Obispo County OES, Monterey County Sheriff, Monterey County OES, Fort Hunter Liggett, and Los Padres National Forest.",2016-08-13,2016-09-06,24.0
Lake,3929.0,"CALFIRE Sonoma-Lake-Napa Unit, CAL FIRE, Multiple local government fire departments, USFS, Department of Fish & Game, CA State Parks, Lake County Sheriffs, CHP, PG&E, CDCR and BLM.",2016-08-13,2016-08-26,13.0
Kern,29322.0,Sequoia National Forest,2016-08-16,2016-10-01,46.0
Humboldt,23.0,CAL FIRE Humboldt-Del Norte,2016-08-11,2016-08-16,5.0
Sacramento,40.0,CAL FIRE Amador- El Dorado Unit / Sac Metro Fire,2016-09-11,2016-09-12,1.0
Alpine,0.0,Stanislaus National Forest,2016-08-18,2016-08-30,12.0
Fresno,158.0,CAL FIRE / Fresno County Fire,2016-09-03,2016-09-06,3.0
Santa Clara,25.0,CAL FIRE Santa Clara Unit,2016-09-01,2016-09-02,1.0
Yuba,400.0,CAL FIRE Nevada-Yuba-Placer Unit,2016-08-18,2016-08-18,0.0
Mendocino,36.0,CAL FIRE Mendocino Unit,2016-08-30,2016-08-31,1.0
Kern,304.0,USFS Sequoia National Forest,2016-08-28,2016-08-28,0.0
Siskiyou,33867.0,USFS Klamath National Forest,2016-08-27,2016-08-28,1.0
San Joaquin,147.0,CAL FIRE Santa Clara Unit,2016-08-20,2016-08-20,0.0
Humboldt,599.0,"CAL Fire Humboldt-Del Norte Unit, CDCR, Yurok Tribe, BIA, USFS, CCC, NDF, and NDC.",2016-08-22,2016-09-04,13.0
